Assessment Name,Relative_URL,Remote Testing,Adaptive/IRT,Test Type,Assessment Length,description,languages,job levels
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,available,available,Knowledge & Skills,Approximate Completion Time in minutes = 20,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Aeronautical Engineering ,https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Aerospace Engineering ,https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7 minutes,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.","English (USA),","Graduate,"
Agile Testing ,https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 13,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","English (USA),","Mid-Professional, Professional Individual Contributor,"
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,available,unavailable,Personality & Behavior,Approximate Completion Time in minutes = 16,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,"English (USA),","General Population,"
Amazon Web Services (AWS) Development ,https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Android Development ,https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Angular 6,https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 11,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.","English (USA),","Mid-Professional, Professional Individual Contributor,"
AngularJS ,https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Apache Hadoop ,https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Apache Hadoop Extensions ,https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Apache HBase ,https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 5,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Apache Hive ,https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 5,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Apache Kafka ,https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Apache Pig ,https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 6,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Apache Spark ,https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.","English (USA),","Mid-Professional, Professional Individual Contributor,"
ASP .NET with C# ,https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 13,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.","English (USA),","Mid-Professional, Professional Individual Contributor,"
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,available,available,Knowledge & Skills,Approximate Completion Time in minutes = 30,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,available,unavailable,Assessment Exercises,Approximate Completion Time in minutes = Variable,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.Exercises are available across a wide range of job levels and industry contexts.Contact SHL to find out more.","English International, English (USA),","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Automata - Fix ,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = max 20,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","English (USA),","Mid-Professional,"
Automata - SQL ,https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = max 30,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Automata ,https://www.shl.com/solutions/products/product-catalog/view/automata-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = max 45,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","English (USA),","Mid-Professional, Professional Individual Contributor,"
Automata Data Science ,https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = max 60,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"English (USA),","Mid-Professional, Professional Individual Contributor,"
Automata Data Science Pro ,https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = max 60,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"English (USA),","Professional Individual Contributor, Mid-Professional,"
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,available,unavailable,Simulations,Approximate Completion Time in minutes = 30 minutes,"Simulation based test that measures the front-end development capabilities using HTML, CSS, and
JavaScript. The candidate is provided with 3 different sections to code in HTML, CSS and JavaScript respectively and a separate output section to view the output. This simulation is then manually scored.","English (USA),","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Manager,"
Automata Pro ,https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = max 60,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems.Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","English (USA),","Mid-Professional, Professional Individual Contributor,"
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,available,unavailable,Simulations,Approximate Completion Time in minutes = 60,A coding simulation assessment that evaluates the ability to conduct tasks related to automation testing using Selenium scripts.,"English (USA),","Entry-Level, Graduate, Manager, Mid-Professional, Professional Individual Contributor,"
Automation Anywhere RPA Development ,https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,"Multi-choice test that measures the knowledge of Automation Anywhere dash board and task editor, control room, key commands, bots and Automation Anywhere client.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Automotive Engineering ,https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 13,"Multi-choice test that measures the knowledge of auto engine classification, engine fuel system, auto-vehicle technology, maintenance, inspection and troubleshooting.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Basic Biology ,https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 6,Multi choice test that measures the candidate's basic understanding of Biology.,"English (USA),","Professional Individual Contributor, Graduate, Mid-Professional,"
Basic Computer Literacy (Windows 10),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,available,unavailable,,Approximate Completion Time in minutes = 30,"The Basic Computer Literacy (Windows 10) simulation measures knowledge of general computer terminology, processes, and applications and the ability to perform certain operations in a simulated environment resembling the actual application. This simulation consists of both multiple choice and simulation-based questions, and includes the following topics: Application Software, Computer Terms, Internet and Email, Managing Files, Operating System, and Parts of the Computer.","English (USA),","Entry-Level,"
Basic Statistics ,https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of statistical methods, exploratory analysis, basics of probability, standard distributions and statistical testing.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Biochemistry ,https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,"Multi-choice test that measures the knowledge of various bio-molecules like amino acids, proteins, enzymes, carbohydrates, vitamins and nucleic acids, and concepts of bioenergetics and metabolism.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Biotech Lab Techniques ,https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 5,"Multi-choice test that measures the knowledge of biophysical techniques, bio-processing and separation techniques like chromatography and electrophoresis.","English (USA),","Graduate, Professional Individual Contributor, Mid-Professional,"
BizTalk ,https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 16,"Multi-choice test that measures the knowledge of BizTalk architecture, pipelines, adapters, business process techniques and BizTalk administration.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,available,available,Knowledge & Skills,Approximate Completion Time in minutes = 24,"This is an adaptive test that measures knowledge of communicating in the workplace. It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication.","English (USA),","Entry-Level, Front Line Manager, Manager, Mid-Professional, Professional Individual Contributor,"
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 35,"This test measures the candidate's knowledge of communicating in the workplace.  It measures the skills necessary to communicate effectively with coworkers at all levels and with external business contacts. Designed for the average business worker, this test includes the following topics: Electronic Communication, Employment Communication, Listening, Meetings, Nonverbal Communication, Verbal Communication, and Written Communication. This version of the test is not adaptive.","English (USA),",Not found
C Programming ,https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.","English (USA),","Mid-Professional, Professional Individual Contributor,"
C# Programming ,https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.","English (USA),","Mid-Professional, Professional Individual Contributor,"
C++ Programming ,https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,"English (USA),","Mid-Professional, Professional Individual Contributor,"
Cardiology and Diabetes Management ,https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 4,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Ceramic Engineering ,https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 12,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Chemical Engineering ,https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 13,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.","English (USA),","Graduate, Mid-Professional, Professional Individual Contributor,"
Cisco AppDynamics ,https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Civil Engineering ,https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.","English (USA),","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Cloud Computing ,https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.","English (USA),","Mid-Professional, Professional Individual Contributor,"
COBOL Programming ,https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 10,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Computer Science ,https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 12,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Contact Center Call Simulation ,https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = 15,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,"English (USA),","Entry-Level,"
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,available,unavailable,Simulations,Approximate Completion Time in minutes = 11,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.","English (USA),",Not found
Core Java (Advanced Level) ,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 13,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Core Java (Entry Level) ,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 13,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,available,available,,Approximate Completion Time in minutes = 5,The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,"English (USA), English (Australia), English (Canada), English International, English (South Africa),","Entry-Level,"
CSS3,https://www.shl.com/solutions/products/product-catalog/view/css3-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 8,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,"English (USA),","Mid-Professional, Professional Individual Contributor,"
Culinary Skills ,https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 7,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.","English (USA),","Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,available,unavailable,,Approximate Completion Time in minutes = 20,"As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","French (Canada), Portuguese (Brazil), Dutch, Italian, Spanish, French, Latin American Spanish, Chinese Simplified, English (Australia), English International, English (USA),","Entry-Level,"
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,available,unavailable,,Approximate Completion Time in minutes = 30,"As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""","French (Canada), Italian, French, Dutch, Spanish, Portuguese (Brazil), Chinese Simplified, English (Australia), Latin American Spanish, English (USA), English International,","Entry-Level,"
Cyber Risk ,https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 9,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.","English (USA),","Manager, Mid-Professional, Professional Individual Contributor, Supervisor,"
Data Entry ,https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,available,unavailable,Simulations,Approximate Completion Time in minutes = 4,Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,"English (USA),","Entry-Level,"
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 5,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.","English (USA),","Professional Individual Contributor, Mid-Professional, Front Line Manager, Entry-Level,"
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 5,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.","English (USA),","Mid-Professional, Professional Individual Contributor, Entry-Level, Front Line Manager,"
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 3,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,"English (USA),","Entry-Level, Front Line Manager, Mid-Professional, Professional Individual Contributor,"
Data Science ,https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,available,unavailable,Knowledge & Skills,Approximate Completion Time in minutes = 14,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.","English (USA),","Mid-Professional, Professional Individual Contributor,"
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,available,available,Knowledge & Skills,Approximate Completion Time in minutes = 25,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.","English (USA),","Mid-Professional, Professional Individual Contributor,"
